
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2024-07-10 19:23:08 .................................................. ~ -1s
  2024-07-10 19:23:12 ................................................... ~ 0s
  2024-07-10 19:23:23 ................................................... ~ 0s
  2024-07-10 19:23:23 ................................................... ~ 0s
  2024-07-10 19:23:27 ................................................... ~ 0s
  2024-07-10 19:23:31 ................................................... ~ 0s
  2024-07-10 19:23:41 .................................................. ~ -6s
  2024-07-10 19:23:47 .................................................. ~ -6s
  2024-07-10 19:23:59 .................................................. ~ -6s
  2024-07-10 19:24:08 .................................................. ~ -6s
  2024-07-10 19:28:32 ................................................... ~ 0s
  2024-07-10 19:29:51 ................................................... ~ 0s
  2024-07-10 19:30:03 ................................................... ~ 0s
  2024-07-10 19:30:03 ................................................... ~ 0s
  2024-07-10 19:30:05 ................................................... ~ 0s
  2024-07-10 19:30:17 ................................................... ~ 0s
  2024-07-10 19:30:18 ................................................... ~ 0s
  2024-07-10 19:30:22 ................................................... ~ 0s
  2024-07-10 19:32:53 ................................................... ~ 0s
  2024-07-10 19:32:58 ................................................... ~ 0s
  2024-07-10 19:33:02 ................................................... ~ 0s
  2024-07-10 19:33:05 ................................................... ~ 0s
  2024-07-10 19:33:05 ................................................... ~ 0s
  2024-07-10 19:33:11 ................................................... ~ 0s
  2024-07-10 19:33:16 ................................................... ~ 0s
  2024-07-10 19:33:36 ................................................... ~ 0s
  2024-07-10 19:33:47 ................................................... ~ 0s
  2024-07-10 19:33:50 ................................................... ~ 0s
  2024-07-10 19:33:54 ................................................... ~ 0s
  2024-07-10 19:34:02 ................................................... ~ 0s
  2024-07-10 19:34:11 ................................................... ~ 0s
  2024-07-10 19:34:13 ................................................... ~ 0s
  2024-07-10 19:34:15 ................................................... ~ 0s
  2024-07-10 19:34:16 ................................................... ~ 0s
  2024-07-10 19:34:43 ................................................... ~ 0s
  2024-07-10 19:39:27 ................................................... ~ 0s
  2024-07-10 19:40:01 ................................................... ~ 0s
  2024-07-10 19:40:01 ................................................... ~ 0s
  2024-07-10 19:40:04 ................................................... ~ 0s
  2024-07-10 19:41:34 ................................................... ~ 0s
  2024-07-10 19:41:35 ................................................... ~ 0s
  2024-07-10 19:42:00 ................................................... ~ 0s
  2024-07-10 19:42:00 ................................................... ~ 0s
  2024-07-10 19:45:06 ................................................... ~ 0s
  2024-07-10 19:45:06 ................................................... ~ 0s
  2024-07-10 19:45:25 ................................................... ~ 0s
  2024-07-10 19:45:26 ................................................... ~ 0s
  2024-07-10 19:46:29 ................................................... ~ 0s
  2024-07-10 19:46:29 ................................................... ~ 0s
  2024-07-10 19:46:55 ................................................... ~ 0s
  2024-07-10 19:46:55 ................................................... ~ 0s
  2024-07-10 19:47:26 ................................................... ~ 0s
  2024-07-10 19:47:26 ................................................... ~ 0s
  2024-07-10 19:48:07 ................................................... ~ 0s
  2024-07-10 19:48:08 ................................................... ~ 0s
  2024-07-10 19:48:39 ................................................... ~ 0s
  2024-07-10 19:48:41 ................................................... ~ 0s
  2024-07-10 19:48:42 ................................................... ~ 0s
  2024-07-10 19:49:21 ................................................... ~ 0s
  2024-07-10 19:50:19 ................................................... ~ 0s
  2024-07-10 19:50:19 ................................................... ~ 0s
  2024-07-10 19:50:19 .................................................. ~ -7s
  2024-07-10 19:52:33 ................................................... ~ 0s
  2024-07-10 19:52:33 .................................................. ~ -1s
  2024-07-10 19:52:45 ................................................... ~ 0s
  2024-07-10 19:54:16 ................................................... ~ 0s
  2024-07-10 19:54:18 ................................................... ~ 0s
  2024-07-10 19:54:57 ................................................... ~ 0s
  2024-07-10 19:54:57 ................................................... ~ 0s
  2024-07-10 19:55:00 ................................................... ~ 0s
  2024-07-10 19:55:06 ................................................... ~ 0s
  2024-07-10 19:55:34 ................................................... ~ 0s
  2024-07-10 19:55:34 ................................................... ~ 0s
  2024-07-10 19:55:34 ................................................. ~ -66s
  2024-07-10 19:56:40 .................................................. ~ -6s
  2024-07-10 20:05:47 ................................................... ~ 0s
